Timestamp,type,alk small,alk small percent,alk large,alk large percent,, cz small,cz small percent,cz large,cz large percent,,lithium small,lithium small percent,lithium large,lithium large percent,,nimh small,nimh small percent,nimh large,nimh large percent,,
0018-11-23 16:25:00,alkaline,3.06,99.02912621,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.69,83.54037267,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:26:00,alkaline,3.06,99.02912621,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.69,83.54037267,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:27:00,alkaline,3.06,99.02912621,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.69,83.54037267,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:28:00,alkaline,3.05,98.70550162,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.69,83.54037267,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:29:00,alkaline,3.05,98.70550162,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.69,83.54037267,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:30:00,alkaline,3.05,98.70550162,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.68,83.22981366,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:31:00,alkaline,3.05,98.70550162,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.68,83.22981366,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:32:00,alkaline,3.05,98.70550162,2.81,90.93851133,CarbZinc,3.08,95.65217391,2.68,83.22981366,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:33:00,alkaline,3.05,98.70550162,2.8,90.61488673,CarbZinc,3.08,95.65217391,2.68,83.22981366,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:34:00,alkaline,3.05,98.70550162,2.8,90.61488673,CarbZinc,3.08,95.65217391,2.68,83.22981366,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:35:00,alkaline,3.05,98.70550162,2.8,90.61488673,CarbZinc,3.08,95.65217391,2.68,83.22981366,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.61,92.55319149,,
0018-11-23 16:36:00,alkaline,3.05,98.70550162,2.8,90.61488673,CarbZinc,3.08,95.65217391,2.67,82.91925466,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.6,92.19858156,,
0018-11-23 16:37:00,alkaline,3.05,98.70550162,2.8,90.61488673,CarbZinc,3.07,95.34161491,2.67,82.91925466,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.6,92.19858156,,
0018-11-23 16:38:00,alkaline,3.05,98.70550162,2.8,90.61488673,CarbZinc,3.07,95.34161491,2.67,82.91925466,Lithium,3.35,97.38372093,3.02,87.79069767,NiMH,2.78,98.58156028,2.6,92.19858156,,
