[18-11-23 17:41:36 59.929542] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:42:36 59.928595] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:43:36 59.928450] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:44:35 59.929471] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:45:35 59.928568] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:46:35 59.928500] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:47:35 59.929525] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:48:35 59.928228] , alkaline, Small Load, 3.05, Large Load, 2.76
[18-11-23 17:49:35 59.928380] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:50:35 59.929437] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:51:35 59.928039] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:52:35 59.928257] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:53:35 59.929376] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:54:35 59.928118] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:55:35 59.929223] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:56:35 59.928278] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:57:35 59.928098] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:58:34 59.929249] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 17:59:34 59.927982] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 18:00:34 59.929130] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 18:01:34 59.930061] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 18:02:34 59.928909] , alkaline, Small Load, 3.04, Large Load, 2.75
[18-11-23 18:03:34 59.928909] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:04:34 59.929982] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:05:34 59.929003] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:06:34 59.928588] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:07:34 59.929705] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:08:34 59.928755] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:09:34 59.928351] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:10:34 59.929652] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:11:34 59.929388] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:12:33 59.928460] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:13:33 59.928709] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:14:33 59.929198] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:15:33 59.927295] , alkaline, Small Load, 3.04, Large Load, 2.74
[18-11-23 18:16:33 59.929383] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:17:33 59.929371] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:18:33 59.927393] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:19:33 59.929450] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:20:33 59.929365] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:21:33 59.927430] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:22:33 59.929314] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:23:33 59.929419] , alkaline, Small Load, 3.03, Large Load, 2.73
[18-11-23 18:24:33 59.927217] , alkaline, Small Load, 3.03, Large Load, 2.73
[18-11-23 18:25:33 59.929337] , alkaline, Small Load, 3.03, Large Load, 2.73
[18-11-23 18:26:32 59.929366] , alkaline, Small Load, 3.03, Large Load, 2.73
[18-11-23 18:27:32 59.928234] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:28:32 59.928391] , alkaline, Small Load, 3.04, Large Load, 2.73
[18-11-23 18:29:32 59.929396] , alkaline, Small Load, 3.03, Large Load, 2.73
[18-11-23 18:30:32 59.928213] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:31:32 59.928292] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:32:32 59.929366] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:33:32 59.928350] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:34:32 59.928721] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:35:32 59.929901] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:36:32 59.928613] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:37:32 59.928756] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:38:32 59.929484] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:39:32 59.928450] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:40:31 59.928656] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:41:31 59.929255] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:42:31 59.928310] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:43:31 59.929662] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:44:31 59.928146] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:45:31 59.928189] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:46:31 59.929055] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:47:31 59.928326] , alkaline, Small Load, 3.03, Large Load, 2.72
[18-11-23 18:48:31 59.928237] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:49:31 59.929396] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:50:31 59.928055] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:51:31 59.928266] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:52:31 59.929246] , alkaline, Small Load, 3.03, Large Load, 2.71
