[18-11-23 19:13:20 59.992614] , CarbZinc, Small Load, 2.99, Large Load, 2.55
[18-11-23 19:14:20 59.992862] , CarbZinc, Small Load, 2.99, Large Load, 2.55
[18-11-23 19:15:20 59.990661] , CarbZinc, Small Load, 2.99, Large Load, 2.55
[18-11-23 19:16:20 59.992925] , CarbZinc, Small Load, 2.99, Large Load, 2.55
[18-11-23 19:17:20 59.992803] , CarbZinc, Small Load, 2.99, Large Load, 2.55
[18-11-23 19:18:20 59.990632] , CarbZinc, Small Load, 2.99, Large Load, 2.55
[18-11-23 19:19:20 59.992884] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:20:20 59.992726] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:21:20 59.990879] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:22:20 59.992922] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:23:20 59.992981] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:24:20 59.991877] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:25:20 59.991955] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:26:20 59.992742] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:27:20 59.991787] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:28:20 59.991728] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:29:20 59.993022] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:30:20 59.991768] , CarbZinc, Small Load, 2.99, Large Load, 2.54
[18-11-23 19:31:20 59.991809] , CarbZinc, Small Load, 2.98, Large Load, 2.53
[18-11-23 19:32:20 59.992887] , CarbZinc, Small Load, 2.98, Large Load, 2.53
[18-11-23 19:33:20 59.991937] , CarbZinc, Small Load, 2.98, Large Load, 2.53
[18-11-23 19:34:20 59.991555] , CarbZinc, Small Load, 2.98, Large Load, 2.53
[18-11-23 19:35:20 59.993211] , CarbZinc, Small Load, 2.98, Large Load, 2.53
[18-11-23 19:36:20 59.991672] , CarbZinc, Small Load, 2.98, Large Load, 2.53
[18-11-23 19:37:20 59.991798] , CarbZinc, Small Load, 2.98, Large Load, 2.52
[18-11-23 19:38:20 59.992874] , CarbZinc, Small Load, 2.98, Large Load, 2.52
[18-11-23 19:39:20 59.991857] , CarbZinc, Small Load, 2.98, Large Load, 2.52
[18-11-23 19:40:20 59.992914] , CarbZinc, Small Load, 2.98, Large Load, 2.52
[18-11-23 19:41:20 59.992036] , CarbZinc, Small Load, 2.97, Large Load, 2.52
[18-11-23 19:42:20 59.991699] , CarbZinc, Small Load, 2.97, Large Load, 2.52
[18-11-23 19:43:20 59.993294] , CarbZinc, Small Load, 2.97, Large Load, 2.52
[18-11-23 19:44:20 59.992225] , CarbZinc, Small Load, 2.97, Large Load, 2.52
[18-11-23 19:45:20 59.992081] , CarbZinc, Small Load, 2.97, Large Load, 2.52
[18-11-23 19:46:20 59.993145] , CarbZinc, Small Load, 2.97, Large Load, 2.52
