[18-11-23 18:13:36 59.973517] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:14:36 59.972278] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:15:36 59.972382] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:16:36 59.973302] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:17:36 59.972428] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:18:36 59.972343] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:19:36 59.973372] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:20:36 59.973277] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:21:36 59.972309] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:22:36 59.972288] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:23:36 59.973296] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:24:36 59.971205] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:25:36 59.973283] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:26:36 59.973141] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:27:36 59.971250] , Lithium, Small Load, 3.38, Large Load, 3.01
[18-11-23 18:28:36 59.973182] , Lithium, Small Load, 3.38, Large Load, 3.01
[18-11-23 18:29:36 59.973230] , Lithium, Small Load, 3.38, Large Load, 3.01
[18-11-23 18:30:36 59.971492] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:31:36 59.973071] , Lithium, Small Load, 3.38, Large Load, 3.01
[18-11-23 18:32:36 59.973185] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:33:36 59.971151] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:34:36 59.973720] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:35:36 59.973743] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:36:36 59.972506] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:37:36 59.972685] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:38:36 59.973180] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:39:36 59.972554] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:40:36 59.972259] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:41:36 59.973088] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:42:35 59.972117] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:43:35 59.972039] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:44:35 59.973267] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:45:35 59.971994] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:46:35 59.971925] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:47:35 59.973101] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:48:35 59.972272] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:49:35 59.971856] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:50:35 59.973183] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:51:35 59.972283] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:52:35 59.972991] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:53:35 59.972263] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:54:35 59.972025] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:55:35 59.973259] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:56:35 59.972104] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:57:35 59.972093] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:58:35 59.973131] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:59:35 59.972335] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:00:35 59.972036] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:01:35 59.973528] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:02:35 59.972005] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:03:35 59.972056] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:04:35 59.972921] , Lithium, Small Load, 3.37, Large Load, 3.01
