[18-11-23 17:52:21 59.941208] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:53:20 59.941027] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:54:20 59.939019] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:55:20 59.940875] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:56:20 59.940960] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:57:20 59.939043] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:58:20 59.940861] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:59:20 59.940969] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 18:00:20 59.940729] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 18:01:20 59.940789] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 18:02:20 59.941667] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 18:03:20 59.940799] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 18:04:20 59.940536] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 18:05:20 59.941690] , NiMH, Small Load, 2.76, Large Load, 2.56
[18-11-23 18:06:20 59.940677] , NiMH, Small Load, 2.76, Large Load, 2.56
[18-11-23 18:07:20 59.940257] , NiMH, Small Load, 2.76, Large Load, 2.56
[18-11-23 18:08:20 59.941535] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:09:19 59.940266] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:10:19 59.940292] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:11:19 59.941367] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:12:19 59.940315] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:13:19 59.940229] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:14:19 59.941384] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:15:19 59.940078] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:16:19 59.941103] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:17:19 59.940228] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:18:19 59.940229] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:19:19 59.941214] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:20:19 59.940221] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:21:19 59.940011] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:22:19 59.941329] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:23:19 59.939963] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:24:19 59.940206] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:25:19 59.941094] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:26:18 59.940007] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:27:18 59.940231] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:28:18 59.941091] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:29:18 59.940380] , NiMH, Small Load, 2.76, Large Load, 2.55
[18-11-23 18:30:18 59.940042] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:31:18 59.940947] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:32:18 59.941067] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:33:18 59.940097] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:34:18 59.940465] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:35:18 59.941445] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:36:18 59.939659] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:37:18 59.941284] , NiMH, Small Load, 2.76, Large Load, 2.54
